clean_tweet,label
"sir. pleas go text mexican bitch, i'm finna deal witcho childish as &#128514;",0
rt &#8220;@ginga_snaps13: jessica i'm afraid slit throat tomorrow&#8221;,0
evil hate whitey racist think delbert belton deserv it.,0
rt most nigga go broke hoe,0
"&#8220;@rocafella123 ""@waymoflydenu: if fleek yo vocabulari faggot""&#8221;",0
3/4 citizen. i said maria spic,0
"""poor whitey"" http://t.co/3ukkeyznz8",0
"somebodi couldv like ""ay man drop money"" nooooooo fuck broke faggot selfish bastard hate yall",0
hope gezu get shot faggot head #houston #nbomb,0
rt proudli racist. u dumb nigger,0
god i would sell nut watch lebron tear acl right watch pussi kill,0
"rt ""@vivalajuicyy69: ----&gt; tragedi smh rt nigga know throw dirt name pussi h&#8230;",0
"i wish faggot like would stop make music, rack citi fuck awful. get fuck outta michigan.",0
lmaoo fag,0
stoni fuckin queer...,0
search? gay redneck episod 1 play?,0
thi twitter. not fag also retarded.,0
faggot,0
rt stop stalkin girl social medium u bitch as nigga,0
your fag,0
rt apartheid. &#8220;@no_cut_card: pedestrian check = show freedom paper darkies.&#8221;,0
"america today, rule thumb is: doubt, blame ""whitey""",0
"""@jayswaggkillah: jacki retard #blondeproblems"" at least i make grill cheese!",0
stupid loos pussi bitch,0
fuck queer faggot bitch,0
i bend way queer. thank offer flattering.,0
she say da hood white trash,0
faggot,0
bitch like i'm mix wit italian chines nd african american i like bitch cuz ate ur&#8230; http://t.co/zdwd3l8m,0
"you old bitter,salti as nicca make flesh crawl bones! such bitch are! #dontarguejustacceptit",0
"play white guilt last one last time, whitey felt 'absolved', end today. it end fields/suburb pennsylvania.",0
"onli word i understand #blackjesu ""nigger""... heavili disappoint show. aaronmacgrud stuff blows, imo.",0
look like fuck shrek bitch,0
"""@cb_baby24: alsarabsss"" he beaner smh tell he mexican",0
rt well mayb whore stupid ugli homeless bitch,0
faggot drive stick,0
rt wow stupid nigger lebron realli came,0
#southcarolina full white trash,0
you word rt beat fuck faggot pl,0
faggot,0
"i hate mom say tri move here... like bitch reason ""trying"" place live..",0
"fuck brett farv redneck ass, stuckup give damn lol campu act like shit",0
oh no. they draft gay as come tv? well u welcom redskin nation. no queer lot niggers.,0
i can't fuck scari hoe.,0
- know faggot. there liter thousand peopl radar homo,0
i love peopl there' one fag go school catch ninja star face asap,0
lmaooo rt she tranni open jar pickl,0
pure trash http://t.co/a2rbvebeg1,0
rt you good girl want hoe still gonna get u nigga attent time time,0
rt don't watch beta watch bitch nigga!,0
i want punch throat get order wrong stupid bitch sonic,0
"&#128514;&#128514;&#128514; said rt my tl gotta chill pretti face challeng foolishness, y'all hoe agg",0
"rt idc phone u got, lol silli nigger",0
good leav stupid faggot,0
lmfao go bed whitey &#128129;,0
most nicca broke alway n limelight,0
tit may better look face make like asian latina tranni #fact,0
"""@devilgrimz: fuck gay, blacklist hoe"" hold #tehgodclan anyway http://t.co/xuccwoetmn",0
"""we hate niggers, hate faggot hate spics""-kkk ralli",0
cant trust nigga come bitch,0
#faggot,0
shut coon.,0
your act like spoil littl faggot fun,0
rt lowkey call faggot faggot.,0
mayweath pussi he win cu pick fight pick nobodi fighter . #fightpacquiao,0
soetoro/obama move countri #forward w/ vision. hi vision downsiz 'oppressive' countri get even w/ whitey. #war,0
"ok u fat preciou lookin as bitch, u big fat back barnyard lookin as bitch. i fix grammar u still fat",0
"u gotta slow coon hr know love n hip hop, lebron, &amp; fake love quot",0
"dear utah polynesians: again, stop act black speak ghetto. speak fob, ain't ghetto niggaz.",0
sit stfu raghead,0
rt bitch fallin inlov w. niggass &amp; go get new bitch &amp; tri go get new nigga tri forget &#8230;,0
"rt shawti said gone understand america unless went pwi school, cracker alreadi brainwash smh lol",0
what els expect nigger lover?,0
"get hit cunt that 6 foot sideway cunt armi lol, dini care, you fuckin laughabl",0
gay fag,0
ur sassi white trash chang ur usernam,0
those guy definit white trash,0
rt fuck jame tri tell jawga boy sucked. i went ape shit dude,0
rt whi ya nigga gassin wack as bitch ? &#128553;&#128553;,0
rt get fuck racist inbr hillbilli fuck,0
"chill rt if i ever becom presid imma ban henni america..... for day, see negro panic. ""gotcha bitch""",0
karma bitch you. you'll get along fine real soon.,0
rt here #michaelbrown supporter. she say white evil albino black babies. seriously? #tcot http://t.co/p&#8230;,0
i think dat call nigger! what move away da dark side mean?,0
rt happi birthday littl cotton picker,0
hoe tweet,0
i miss someth ofay friends. day scare da recent happenings. don't chu worry...ol lamar say like da color folk,0
they slut kill steal cours it'll yo cash i'll murder bitch send bodi back yo as,0
&amp;when say mean dyke ron #wcw http://t.co/vv4dumme4a,0
"just get u mad go search bar search ""stupid niggers"" &amp; hop somebodi head mention lol",0
jk i'd fuck dog i fuck fish pussi,0
favorit drink white trash everywhere....,0
get cunt,0
rt lebron still bitch suck nigger hope die,0
i learn mani retard find search trend topics.,0
faggot,0
faggot,0
rt joshua faggot. just suspend ground,0
rt these young cat draft nba today walk lotto tickets! wait till nigga find pussi come&#8230;,0
rt my old man white galaxi phone cuz he' fag.,0
lmao dude probabl biggest fag nebraska &#128514;&#128514;&#128514;&#128514;&#128514;,0
nigga actin like hoe em bitch,0
omg ugli faggot. your bad mother. you kill like robin william,0
rt i go take trash darkskin nigga stole damn garbag,0
&#8220;@_bitchbuh: shoot nigga shorti bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#8252;&#65039;,0
nigger!!,0
rt typic coon activ,0
"typic hateful, anti-christian, mental ill ugli dyke trash pig coupl jennif mccarthi melisa erwin http://t.co/tw9nl5hkmt",0
rt when kenni angri talk like ghetto black man i realli even think notic hahahahahahaha i'm laugh &#8230;,0
u pull fuck retard,0
"if kill cop cracker babies, next?????? black states, white states, latino states? isn't move backwards?",0
like retard wu-tang clan,0
hoe make put screenshot text hoe,0
that faggot rant night.,0
boy yung thug fag,0
rt more queer ladi templars. that' point.,0
"""@notoriousbm95: ariza snake coward"" least crippl like hero roach lmaoo",0
"seattl mayor elect year. a choic bunch women, non-whites, faggots/fag lovers. http://t.co/rwhgmrlazx",0
&#8220;@medaoriginbitch: that one friend greet insult.&#8221; nigger,0
come nd get chicken nigger love dat chicken popey http://t.co/yjfh2havav,0
rt horribl rt invad zim trash,0
"an enrag 6'4"" 290 lb mike brown lethal weapon legs.hi hatr 4 polic &amp; whitey ad fuel 2 arsen",0
fuck pussi fuck mouth fuck as caus nasti,0
"i love racism! ""blame whitey"" everything! now mention it! i bet white man put desert tortois #bundyranch",0
but atleast let know...ur faggot u keep type twitter secret,0
"i sayin i'm done drinkin everyday one friend hit like ""i gotta case"" faggot turn free beer",0
thi time night dark skin nigga realli turn lightskin nigga i swear i seen darki tri buy starbuck 3min ago close,0
fuck gook,0
geez..... i think #northkorea may right. #barackobama monkey! sure act like one. http://t.co/y09waoe4em&#8221;,0
you full it! these call child children. they illeg border jumper ms!# gang members.,0
who take mid best midlan na??? fuckin solo q fags.,0
my advic day: if tranny.....go fuck self! http://t.co/w5g2zhzku6,0
&#8220;@niggaimtatted: cowboy win game regular season get playoff trash af lol&#8221; hate as nigga,0
pennsylvania white trash pennsylvanians.,0
rt u dont want heart broken dont check nigga entertain hoe,0
i hate nigger.,0
my manag stupid cunt ye i said,0
wrong nigger alway causung mischief among ur peopl,0
"so support ""illegals"" come spread diseas among american dream bitch!",0
fuck coon,0
ha ha ha good fat dyke,0
rt white trash warfar pt 3,0
get block faggot,0
rt i stop care mcm i notic dyke get chose,0
&#8220;@dickfurari: hell ya they should make more malt liquor ad like this. http://t.co/h0jgortnf8&#8221; - di heaven fo color man,0
rt i'll kill bitch hesit http://t.co/uxepa9lvi5,0
rt you hoe give number anoth nigga got man,0
nigger,0
rt bdub pack beaner &#128557;&#128514;,0
rt i hate bitch dat act like nigga. &#128530;,0
bullet nigguh tru jean,0
as alway eli stupid hick hayse look face giant fan kill yaselv gonna a&#8230; http://t.co/jcyzzmkcfu,0
rt be nigger color state mind,0
"can't stand asian dude now, faggot give attitud caus i almost forgot water, fuck u faggot i stage",0
lmao lebron' express say rt &#8220;@inkmyholebody: thi nigga fuckin faggot,0
them queer as short rabchenko got,0
rt too mani faggot think address first name,0
"i rememb nephew luca cri dan say ""quit pussi grow pair"" something. &#128514;&#128557; dan funny.",0
randi fag,0
you'r littl bitch.,0
fredo bitch as nigga. how nigga fire 20 shot pop get 1 cuz drop gun smh,0
gay. and i tan bitch. juvi made white,0
stfu bori fagjo! rt caus faggot!! make sens right?? rt bran prolli real nurtur lol,0
ahm retard mikey special olymp box,0
"#faggot mere #scientif indic someth is wrong&gt; do celebr ""uniqu indiviuals"" #cancer&gt;",0
mention call nigger wrong(witch agre with) &amp; bossi wrong.but call pimp still ok?,0
"peopl go church hollywood, ca white trash filth.",0
lol rt youuuuu got nigga i got bitch,0
rt on nigger day honor nigger tradit working.,0
statu report: make pit stop canada rape bitch,0
"deedee, patrick, ed, sheen, timmy' dad, beavi &amp; butthead, peter griffin. thi list some mental retard cartoon characters.",0
guy complain me: #gay over-sensitive... response: look complain like littl pussy. waahh waahh #hypocrit,0
everi spic cop killed. those pig got job 'get even' white peopl never anyth them.,0
"bitch as nigga, hate black women... uncl tom bitch punk.",0
done spell check know meant fat liber dyke feminist nazi bitch,0
gabby' bitch two account,0
"rt 1, 2, 3, 4... mani nigger store, i knooooooow stealing! &#128514;&#128514;&#128514;",0
lmao! you nigga region picki hoe now. just say anyth twitter. make fun tho,0
pussi without gun bitch spic. your daddi even respect sperm drop mom stank pussi,0
fuck faggot,0
rt fuck michel obama. that monkey doesnt belong white hous,0
ayi carlton ghetto school #switchedatbirth,0
"sound like good idea. but i want word spread. jews, nigger commi alike.",0
one day im like harri style hot next day tf faggot,0
must light skin hoe &#8220;@campaignmindy: lmfao wtf mean af &#128557;&#128557;&#8220;@trickinggawd: he wasnt readi bruh rip!! http://t.co/ljrqrdbmfi&#8221;&#8221;,0
faggot,0
bitch white stfu shitti spanish,0
"just like i call someon nigger! it' they'r black, act. like a nigger!",0
hoe as nigga &#128569;,0
rt pillow talk yo hoe hate nigga fuck around loos ya hoe like &#128175;,0
1) he' faggot i like him. 2) i'm side state.,0
shit ill pay premium get away anyth as hoe,0
call hous nigger racist? fathom hypocrisi statement.,0
like new avi. my twitter retard show cub hat i stalk profil show new one,0
i hate ghetto trash special school across street building. all grow criminals.,0
twitter fags.,0
"&#8220;@dnumberbefore2: &#8220;@vice504fly: u regular nig, u play b&#8221; lol ima b ig famous&#8221;thes day count somethin",0
"&#8220;@iamkrause: no need thank me, kill nigger reward.&#8221; di pal graduat 26",0
nigger,0
#thingsiwillteachmychild play deez nigga n bitch dat snake,0
gayer 2 faggot bed together&#128129;,0
"racist ntx trash w hate see particular man wh n ""butler""",0
racist tx trash racist wld u intvw n ask racist question itwa disrespect,0
wash butthol tongu littl faggot,0
i hate dumb bitch,0
like nig come home ever want,0
"rt while men often rambl retarded, woman appear trashi tipsy, lawless lust http://t.co/a5&#8230;",0
"faux nois pundit like duck molester, pro-slaveri racist, homophob teabagg darl phil robertson either http://t.co/xxehphwwwr",0
"rt !!! di wrong??? ""@_100d: if fuck wit lame nigga lame bitch""",0
rt fuck islam state!! we kill cunts&#127468;&#127463;,0
yea u stupid faggot. i'm leav till like 5-6pm. want ride?,0
burn bitch http://t.co/63fmrf0g5j,0
shot anoth monkey lmaooooooooooo,0
"yea alright redneck white trash""@camopearls: stupid nigger holler car go road tri hit me! fuck y'all!""",0
"sheepl like &#128073;@sweetpotatertot:oh ""racist"" ""sexist"" ""teabaggers""who elect two old white men. http://t.co/x3bwnm3jii&#8221;",0
rt i realli hate attent seek hoes. hope die,0
"rt one, two, three, four, mani nigger store?",0
rt brandon phelp hoe as nigga and wen i see i'ma smack like da lil bitch #300,0
southwest airlin like drive mini van white trash cousin love huff paint thinner working.,0
"a guy claim republican call c-span news said ""republican hate nigger obama""",0
lol nicca dime game got soo much clout nicca goin da store buy sum dice,0
rt you got nigga &amp; got bitch,0
"nig fun watch got admit, ebola boy speak broken spanish lol",0
guy biggest faggot omfg,0
ratchet look nigger,0
i'm obvious talk cod game queers.,0
boring&amp;hack allah moham also fags.pleas mention well.did god take away ball punishment?,0
becuz man celebr bday drream #faggot,0
these hoe lie u nigga i got news monogam nigga yo bitch fuck anonym niggas!!!,0
niggress think human.,0
some lie as hoe lol,0
i'm sick u niggers...,0
need accept fact hipster faggots.,0
happi birthday coon as nigga buckciti,0
"one problem there ""no pussi allowed"" sorri",0
"same reason u look like anthoni davi eyebrows""@ryanh_slick: whi fuck nigger act differ girl around?:-s""",0
"look coon as nigga here..... stand damn toilet, look around manhood...&#8230; http://t.co/3wypsnrlu3",0
"bradi heard yall say washed, wash leagu hoe as niggas.",0
new york nigga quick take bitch public boy lol!!!!!,0
good morn lightskin dyke bitch steven segal ponytails.,0
harm pussi instead rt miss 26-yr-old usc medic student last seen tuesday may harm http://t.co/evu04p6sur,0
rt ani bitch need crowd fight clearli easili influenc &amp; weak mind &amp; like commit suicid &#128514;&#128514;,0
"i'll it! in uk, ""fag"" mean cigarett ""faggot"" bundl sticks, homo.",0
onli american would hire white trash tie intern terror polic officers.,0
hahahaha youza fuck wigger,0
if someon part 'jame x' he' white trash cultist.,0
i thought would like caus chi yeah faggot,0
nothin much cousin touch white trash wigger wannab bitch boy dick suck fuck gay bitch,0
what' wors #ebola ? the f-ing retard tri make race issue. al sharpton caus american death ebola.,0
what peckin order? 1 white christian 2 color 3 porto rican 4 arab 5 jew i dont know. i axin,0
on upenn campu black chick trash they'r gonna paid,0
rt mine &#128513;&#128588;&#128076; rt &#8220;@187xo_: thi niggah &#128076;&#8221;,0
ion care fuck hoe &#9996;&#65039;,0
hey folk. thi nigger love jew boy ask i make death threat goat fuck people. fuck him.,0
zimmerman comin yo life bitch. http://t.co/khdz1vdnsk,0
it' lot uncl tom as nigga here.,0
soft shit? are handicap retarded?,0
rt if like after romeo chanc i think faggot.,0
rt i fuck hoe &amp; i fuck nigga that' fuckin hoe,0
"rt it' can't bend me, can't buy can't make nigger! #farrakhan #thetim",0
sure you want give free pa everi border jumper countri two what' wrong,0
"naw dude i wish, they'r white trash",0
"shut dirti dirt trap limp knees, ashi footed, blue balls, isol hamster wheel, nippl bitch",0
"lmao, soft as nigga tri act tough, littl bitch. sit watch sidelin pussy.",0
faggot http://t.co/tkpokv3ncd,0
&#128514;&#128514; fucc nicca yu pose pullin,0
spell faggot e cool lol,0
he friggin idiot say anyth redneck teabagg constitu buy it. they love stupid peopl,0
u coon can't wait wear oreo j',0
rt i fuck bitch nigga i fuck nigga bitches&#128556;,0
"pantera - 5 minut alon http://t.co/srn5yc16 5 minutes, pussi boy..i'l crush you.",0
"yeah! me too. my people, women, laff set apart men... love real nigga niggers.",0
"whatev hoe bitch #1 ""fags"" beat yall sad ass",0
"i'll that, agre take ethiopian starvin look nigger as back africa. #buyfoodlittleguy",0
happi birthday queer,0
"rt we muslim militari honour whatsoever, sub human savag slaughter unarm men, woman &amp; child http:&#8230;",0
i hope get eye cancer bitch.,0
fag,0
don't nigga honki,0
rt i got call faggot buy girl tom i'm gonna fuck person as,0
"rt woke sore throat, im cold, nigger niggers. terribl",0
rt onli fuck nigga would wanna continu mess messi as bitch vs. somebodi ha a&#8230;,0
wait wetback sycksyl http://t.co/l8wqzduzz,0
"hey sir hous nigger, uncl tom grand ole mississippi, i rest case!",0
"rt #neveraskablackperson hair . hit ""bitch bought , mine"" .",0
read suck bacon encrust middl finger muslim twat,0
move countri teabaggers!,0
vanessa fuckin faggot.,0
cunt,0
"&#8220;@thejanicexxx: u unfollow can't dm u, i'll say here, rude cunt lmao&#8221; dm",0
&#128514;&#128514;alright fag this? http://t.co/5ht61nmjj3,0
"""who fuck callin jiggaboo, nigga?!""",0
"bitch kill yoself, go bathroom eat pill bitch, em",0
ok. did bitch say wut i think she.said? i believ u describ urself dumbass,0
"if say follow word convo over: nigger, nigga, swag, yolo, fag, retard.",0
oregon lose in oregon ahhhahahaha faggot,0
shut nigger,0
fag b,0
i'm upset got faggot show,0
"hey nigger #racismisaliveandwellbro , learn black leagu conduct",0
rt fuck queer,0
i'm 5'8 fag &#128536;&#128536;,0
ahah fuck queer kill urself,0
you state gook,0
stay talk defend fuckboy as boyfriend what? go suck your faggot,0
good enough fag,0
black cop want kill white citizens. spic cop want kill anglo citizens. zigeun cop rapists.,0
know talk retard faggot,0
"ur pal threat2 ""apost kufar""&gt;""i cld cut ur neck w/sword islam &amp;watch u squeal like bitch like daniel pearl""",0
rt thi nigga fuckin faggot,0
clan retards...,0
roman cathol us trash. they give cathol europ bad name.,0
"""mi grandma use call porch monkey time... come think refer broken bottl nigger knife"" &#128563;",0
well genos. so ultim faggot,0
#westvirginia full white trash.,0
"hey fag, i said aunts. *he* said you.",0
fag.,0
"rt ""i love cripples! look fuck cripples! goddamit i'm peopl person!""",0
fuck faggot,0
one le littl nigger would grow big nigger.,0
"whi faggot front get two dozen doughnut right now, get fuck",0
rt! commenc carpet bombing! all #iraq soldier video http://t.co/7old2edb1r execut jihadi #tuni http://t.co/02e1ceoe3z&#8221;,0
all muzzi lover need one thing. tell muzzi mideast leav israel alone. don't start shit shit. #israel,0
the south full white trash. the midwest full white trash. the west coast full white trash.,0
it stink must pussi as nigga talkin shit #tomyfacebro test,0
"rt miley cyru pussi probabl tast like wet dog, neg ass, bitch look like justin bieber, ove&#8230;",0
"""@ashlingwilde: bore suppos cute, faggot?"" sometim",0
i believ fuckin punk nigga bitch&#128520;&#128170;,0
"fuck you, stupid as coward as punk bitch faggot as racist piec shit. punk. bitch, ain't worth time!",0
"gay stfu, dumb monkey",0
rino trash like see conserv democrat parti see blacks. as slave property. #tcot,0
holder&#8217; justic depart isn&#8217;t interest fact #ferguson http://t.co/7vh4typmht these race hustl bitch disgraceful.,0
"""hey go look video man found kidnap girl ohio........what nigger"" - #shitmybosssay",0
spic half breed trash. no filthi nativ allow speak european.,0
t.o. faggot crybabi,0
ignor cement head hillbilly. you said taxing. cant fuckin read fuck knob gobbl douchebag,0
rt #niggers! http://t.co/hb3ujalky2,0
"rt ""@maggietanquary: she one ugliest woman ive ever seen. cross reptil crow."" http://t.co/jsyaogup4",0
stay home bitch fuck u,0
#tweetlikepontiacholmes&#160; i pontiac sprinkler... nigga nigga nigga nigga spic spic spic spic nigga nigga nigga nigga,0
rt fuck chink clash clan alway fuck up. bitch as kamikaz faggots.,0
ape? fuck u broke as racist,0
"""@bigbootybishopp: lassen cc , coach want me"" feel youll get nig doubt",0
better nig. lol anyth ill flip u 10 something. im tryna get cash,0
"rt man, coon ju quit yo job, found ya bo racist, shut tha fucc up. nigga love &#8230;",0
rt u hoe go church morn like y'all bust wide open nigga 4 hour ago,0
niger,0
fags.!,0
what youtub channel faggot,0
rt lmaoo rt that' legal tackl faggot rt seriously? http://t.co/gumzewrpy3,0
you'r fuck faggot.,0
dont tell do. fuck ball kike nigger cunt tit cocksuck chink spic piss bitch bastard pussi faggot.,0
"rt lmfaoo never i dolo , i dont got niggas, &amp; old hoe fuck all them &#128074;&#128514;&#128514;&#128514;",0
"aw drake is, sit corner cri listen him? lmfao, pussi dick rider, drake cock tast faggot.",0
"rt man... i tri eat &#128555; ""@kylegotjokes: ""nigga said bitch here, i show nothin!"" http://t.co/u&#8230;",0
rt &#8220;@arosati96: the bromanc pat ant real&#8221; fuck faggot,0
i guess blasphem allah ok po muzzi huh?,0
bitch shoot herself? sick whores!,0
"rt gonna happen coward nigger get lit up. he know it. ""pac sign tmt"" di&#8230;",0
stfu white trash,0
pictur make look like seriou fag. #justsayin lol,0
i like take nigga hoe i stop &#9995;,0
"say shit face ""bruh"" bitch gettin man u dont know business. handl yo shit",0
"""nigger""",0
"i'm liter laugh shock, amazement, joy. in...just everything. in everything! pop champagn american queers. we arrived.",0
can speak one coher sentenc without sound like nig? seriously.,0
town . at movi friends. i stab nig 3 time got sent prison. justice?,0
"convinc u lame, you, nigger liver belief cuz nigger whore",0
rt fuck islam pigfuck trash troll.,0
bernstin chi sox jew fag.,0
&#8220;@kitty_hello14: &#127850;&#127850;&#127850;&#127850;&#127850; bitch as nigga fuck ! &#128079;&#128079;&#128079;&#128079;&#128079;&#128077;&#128077;&#128077;&#128077;&#128077;&#8221; &lt;= hoe ain't got manner #realtalk,0
peopl play #roleplayinggam human filth deserv respect give mosquito. they'r soulless gutter trash.,0
you'r anoth nigguh.,0
rt automat suspici white folk tri hard show like u darkies.,0
bitch dont want ugli as gtfo ol peyton man lookin as,0
"not tri follow spooks, offens ...",0
"""nah you &#128514;&#128514;&#128514;&#128514; yo thought some1 photoshop face faggot smmfh...i hate yall"" http://t.co/5e2fkq3q2t",0
bill smith dd mtv odb lgbtq mma nfl aflcio bitch pick one. fuck hate you. i know proud shit.,0
nope i'm stuck hous full fuck nigger help escap &#128553;,0
liter everi man famili cop bad white bitch wife. i ain't even boutta break da chain. unless latina come around,0
espn keep hire dyke bitch gay spanish nigga talk sport,0
"aint nobodi wear new westbrook ""jordan's"" mexican &amp; trailer park trash white girls.",0
kim kardashian look like tranni surgeri,0
rt aight game over. dyke ruin http://t.co/o0can6gb1p,0
leav dyke,0
hell naw ain't star team lol i'm sure white honkey call nigga,0
you like bitch niggas.,0
"look littl faggot. ""@kellz622: tell beauti much can. it'll make smile""",0
rt chava need stay lane keep send gyro hell dont want big boy dirt infest as beaner,0
"rt ""1, 2, 3, 4, mani nigger store? i knowwww stealing!"" &#128514;&#128514;&#128514;",0
"bro everybodi ho then, fuck it, favorit color mango red ho, charg phone way 100% = ho, smh",0
rt whore slut cunt bitch nigga,0
fag,0
"rt no, stupid redneck, ""anim husbandry"" not mean get hitch blue tick hound, misty.",0
i live south. lot here. my pop life rhode island. hardli nigger there.,0
look like pretti dyke&#128129;&#10024;,0
you'r faggot use cover face emoji,0
#reasonswecantbetogeth u talkin nig smash da homi,0
whoever mr. ramlogan uwi busi law tho? racist mudda cunt,0
"rt caus hoes, go jail caus fuck hoe bloodi n make call head honcho",0
biggest faggot world,0
scandal: a negro bed wench' fairy-tal propaganda: http://t.co/tp1sa5u8uo via a must see hebrew daughter zion!,0
rt ew ugli hoe,0
rt i saw great chimpout 2 summer ago. a middl age salvadoran 15 yr old son got wast 6 beaner metlif &#8230;,0
"lynch mob thug threaten zimmerman jury; &#8216;n*gga come bitch ass&#160;jury&#8217; http://t.co/xy6v2ytya the hatr stop flowing,,#war",0
"medal that: ""we hate fags, kill them"" medal. thank u privileg let fag live.",0
"rt no mom. im ""dramat /immature"" fuck mental problem your bitch cunt.",0
fag,0
"yost portsmouth ""thi biggest white trash counti nation"" #yostknowsmost",0
whooooo? chelsey? fuck lol. she juss bitch,0
rt thi faggit bitch tri say hoe'd hd bearfac bitch yusa fag,0
dem nigga ca white hoes.... i love beauti black sistas....,0
rt a real nigga gone teach bitch game run &#128582;&#128130;&#128520;,0
rt dead!!&#128128;&#8220;@takeme2china: &#128553; rt when ur fuckin pussi stank u realli good friends........... ht&#8230;,0
punk as broke faggots.,0
"""fuck pussi as hater go suck dick die quick"" - someone, me, youtub comments. i think we'd good friends.",0
omg!!! you say face! stupid as hoe talkin shit!!! imma whoop ass!!! *over dramat teenag girls*,0
roid rage much faggot?,0
no one go psychiatri help people. those peopl immoral. everyon work field pure trash.,0
