class,text,clean_tweet,Hash words
1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",""" i'd say im back old old bitch would get excit "" &#128524;",No hashtags
1,""" if you aint bout that Murder Game pussy nigga shut up """,""" aint bout murder game pussi nigga shut """,No hashtags
1,""" if you're toes ain't done you pussy stinks """,""" toe ain't done pussi stink """,No hashtags
1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,""" im done bitter bitch wrap . angri bird there app """,No hashtags
1,""" is that ya bitch """,""" ya bitch """,No hashtags
1,""" it aint nothing to cut a bitch off """,""" aint noth cut bitch """,No hashtags
1,""" jus meet son now he ya mane ass bitches "" #Shots",""" ju meet son ya mane as bitch "" #shot",#Shots
1,""" lames crying over hoes thats tears of a clown """,""" lame cri hoe that tear clown """,No hashtags
1,""" like Snoop said in 94 we dont love these hoes """,""" like snoop said 94 dont love hoe """,No hashtags
2,""" momma said no pussy cats inside my doghouse """,""" momma said pussi cat insid doghous """,No hashtags
1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",""" hate hoe favorit "" #2mw #sevenon # http://t.co/bmdsvmc3rc",#2MW #SevenOne #
1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",""" nice girl bad, make get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" http://t.co/bzrdl3kf7u",No hashtags
1,""" pimps up pimps up hoes down "" Future voice",""" pimp pimp hoe "" futur voic",No hashtags
1,""" post a picture of that pussy get 200 likes """,""" post pictur pussi get 200 like """,No hashtags
1,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",""" pussi power drug "" &#128517; #happyhumpday http://t.co/r8jsymib5b",#HappyHumpDay
1,""" quick piece of pussy call it a drive by """,""" quick piec pussi call drive """,No hashtags
1,""" running round here like some brand new pussy thats bout to get fucked """,""" run round like brand new pussi that bout get fuck """,No hashtags
1,""" these bitches even worst they'll send them guys for you """,""" bitch even worst they'll send guy """,No hashtags
1,""" these hoes like niggas that spend money not talk bout it """,""" hoe like nigga spend money talk bout """,No hashtags
1,""" we dont trust these niggas all these bitches """,""" dont trust nigga bitch """,No hashtags
1,""" yall niggas b cuffing hoes cause yall aint never have bitches """,""" yall nigga b cuf hoe caus yall aint never bitch """,No hashtags
1,""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",""" dodg bullet "" &#128517; &#8220;@darealkha: ""all da bitch i cut pregnant bound ....thank god &#128591;""&#8221;",No hashtags
1,""" young Pill Chamberlain these bitches love my music """,""" young pill chamberlain bitch love music """,No hashtags
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage_: teanna trump probabl cleaner twitter hoe but.........""",No hashtags
1,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""","""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz: gay nigga wait act like bitch tonight""",No hashtags
1,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""","""&#128514;&#128514;&#128514;@the_paradox: and ima steal cat n replac pitbul &#128514;&#128514;&#128514;&#128514; rt he bitch it""",No hashtags
1,"""&amp; he's gone always be a hoe""","""&amp; he' gone alway hoe""",No hashtags
1,"""...Son of a bitch took my Tic Tacs.""

I like this movie.","""...son bitch took tic tacs."" i like movie.",No hashtags
1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons","""..all i wanna get money fuck model bitches!"" - russel simmon",No hashtags
1,"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet","""@2015seniorprobs: i probabl wouldn&#8217;t mind school much didn&#8217;t deal bitch as teachers"". retweet",No hashtags
1,"""@A7XDemery: I'm a fucking fag they said""","""@a7xdemery: i'm fuck fag said""",No hashtags
1,"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?","""@arizzleindacut: femal think date pussi cute now? http://t.co/vxbjg26gsz"" stuff make pussy?",No hashtags
2,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad","""@addicted2guys: -simplyaddictedtoguy http://t.co/1jl4hi8zmf"" woof woof hot scalli lad",No hashtags
1,"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes","""@adorebellaaa: have ya ever ask bitch bitch - kany voice"" ye",No hashtags
1,"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!","""@adorezoey: how u gone bring ur side bitch game you know ya gf friend ?! &#128553;&#128553;&#128553;&#128553;"" i swear!!!!!",No hashtags
2,"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles","""@allaboutmanfeet: http://t.co/3gzupfumev"" woof woof hot sol",No hashtags
2,"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol","""@allyhaaaaa: lemmi eat oreo &amp; dishes."" one oreo? lol",No hashtags
1,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S","""@almightywayne__: bitch fuck u http://t.co/pxmga68nc1"" mayb get better. just http://t.co/tprevwfq0",No hashtags
1,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?","""@almightywayne__: fuck red malon man bitch as niggah"" could pleas use complet sentences?",No hashtags
2,"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao","""@arizonasfinest6: whi eggplant emoji doe?""i say look like scream lmao",No hashtags
1,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch","""@autoworid: hennessey venom gt &#128584; http://t.co/i8egmnkaj9"" that' one sexi bitch",No hashtags
1,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!","""@bossbytchh: him seh pussi wetter shower curtain....#ahmesehwetness""&lt;lmao!!",No hashtags
1,"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""","""@bro_hen314: #eaglesn everi #eagl need see pic i post bitch said racist shit""",#Eaglesnation #Eagles
1,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn","""@bvsedchink: yo fuck skateboarding, y'all wood push faggot man, ball life http://t.co/vbczp6hmt7""",No hashtags
2,"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!","""@babyanimalpics: babi monkey bathtim http://t.co/7kpwadlf0r"" awwwwe! thi soooo adorable!",No hashtags
1,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol","""@baylaagottabody: &#128514;&#128514;&#128514;&#128514; i ain't shit ."" damn skippi lol",No hashtags
1,"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance","""@beeasyjrizzy: u ever kill ant sidewalk think damn nigga way get pussy""no b must b &gt;30%chanc",No hashtags
1,"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol","""@beenbasedb: http://t.co/luubgl9y5u"" 0 ring 0 mvp 0 bitch lol",No hashtags
1,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""","""@beenflynsolo: ppl talk bad ghetto/hood ... kid grow up, nigga funnnnnnn !""",No hashtags
1,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples","""@bestproadvice: the fact tattoos...tattoo http://t.co/zwnbhpdz8e"" he' pussi tattoo nippl",No hashtags
1,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..","""@bill215_: &#128175;&#128175;&#128175; rt bitch want act like nigga bad &#128553;&#128553;&#128553; shit aint cuteeeee"" nigga act like bitches..",No hashtags
1,"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof","""@bitchjones92: get worship bitch! http://t.co/r37cejcjou"" woof woof",No hashtags
1,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe","""@blackchiquitita: wow. rt i'm lost. are buttcheek piercings? http://t.co/yn6guyouq6"" yeah hoe",No hashtags
1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her","""@blacknerdjade: ok, sis."" she'd rather broke bitch? *shrugs* she'll tell work",No hashtags
0,"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad","""@blackman38tide: queer"" gaywad",No hashtags
1,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol","""@brokenpiecesmsc: faggot read tweet dat k"" even funni lol",No hashtags
1,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE","""@brosconfessions: thi bitch ungrat http://t.co/06e77bgwbx"" fr ..... lulwhor",No hashtags
1,"""@CASHandBOOBIES: I been kidnapped yo bitch""","""@cashandboobies: i kidnap yo bitch""",No hashtags
0,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican","""@cb_baby24: alsarabsss"" he beaner smh tell he mexican",No hashtags
1,"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo","""@ccobey: happi birthday nigs"" thank yo",No hashtags
1,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!","""@chlldhoodruiner: ur teacher tell u u homework",No hashtags
1,"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h","""@caelang15: ""@22edham: nigga eat hoe lol"" hell yea lol john paul"" nigga said john paul.. http://t.co/osipbkpr9h",No hashtags
1,"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""","""@canifuckornah: what would y'all lil ugli bald head bitch stop make make-up &amp; weave?""",No hashtags
1,"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig","""@carelessone92: leaf better win damn game i go riot shit #earlychristmas"" better start loot nig","#EarlyChristmas"""
1,"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""","""@causewereguys: go back school suck dick hoe attend it.""",No hashtags
1,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old","""@causewereguys: on way fuck yo bitch http://t.co/j906t5ze2r"" 9 year old",No hashtags
1,"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard","""@celeynichole: come never bring food"" dont car retard",No hashtags
1,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople","""@chadmfverbeck: if richnow show hella tinder hoe im friend anymore"" chill i brought like like 8 propl",No hashtags
1,"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy","""@chandlerparsons: how bout cowboys!!!!"" shutup pussi",No hashtags
1,"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh","""@clicquotsuave: lmaooooooooooo nigga http://t.co/aanpsujmyi"" &lt;bitch want like depress shit..foh",No hashtags
1,"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz","""@coley_cee: girl know i spit g shit &amp; go lbvs""bitch plz",No hashtags
1,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again","""@coley_cee: let make coupl tweet cuzzo page, i get twitter jail.""lmao bitch trick",No hashtags
1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""","""@comedyposts: harlem shake excus go full retard 30 seconds.""",No hashtags
1,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh","""@comedytruth: amen miley &#128591; http://t.co/p2kb2tfyxr""okay, need act like hoe bc ""emot damaged"" foh",No hashtags
1,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""","""@corybandz: one loyal femal wayyyyy better hoe , idc &#128175;""",No hashtags
1,"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;","""@crhedrys: pussi lick pussy.... meow meow #stopwhitepeople2014 &#128049;",#StopWhitePeople2014
1,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands","""@dbab_holloway: check 12th man. #cowboysnation"" even faggot ny fan stand","#CowboysNation"""
1,"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch","""@dgotbricks: what happen vixen ent bitches"" got ran threw side like foothil bitch",No hashtags
1,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow","""@daedavidavie: im bitch okay nude pat &#128554;&#128527;&#128056;"" wow",No hashtags
0,"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn","""@devilgrimz: fuck gay, blacklist hoe"" hold #tehgodclan anyway http://t.co/xuccwoetmn",#TehGodClan
1,"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows","""@diamondloudkush: the fuck wrong bitches?"" nobodi know",No hashtags
1,"""@Dietrich1892: Yall shut up:p"" make me bitch","""@dietrich1892: yall shut up:p"" make bitch",No hashtags
1,"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""","""@dionairish: i hate ""i'm pregnant"" type bitch.""",No hashtags
1,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3","""@doyou_q: got bitch dm i ever read'em"" top 3",No hashtags
2,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started","""@domworldpeace: basebal season win. #yankees"" thi love start","#Yankees"""
1,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""","""@dommoneek: littl stupid bitch i fuck yoooooouuuu..""",No hashtags
1,"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL","""@dreadheadari: realli ask dead as seriou tho, could say ""bitch wheet"" lol",No hashtags
2,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""","""@dunderbail: i'm earli bird i'm night owl, i'm wise worms.""",No hashtags
2,"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.","""@edgarpixar: overdos heavi drug sound bad tonight."" i pussi shit everi day.",No hashtags
2,"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.","""@el_grillo1: pit bull photograph as love fairi tale creatur http://t.co/q0sm89oolh&#8221; they *are* fairi tale creatures.",No hashtags
1,"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol","""@ferocious_ghost: aw."" ...fag, tweet ""aw"" lol",No hashtags
2,"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha","""@flokid88: as long laker trash on, i could careless. and that' real."". cc: hahaha",No hashtags
1,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot","""@frosstyy_: i say anyth tho"" kiss faggot",No hashtags
2,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup","""@funnypicsdepot: ""i play soccer, cheat girls, wear khaki colour cargos"" haircut http://t.co/zuai7qwbir"" &#128514; yup",No hashtags
1,"""@G27Status: I could go for a fat ass bitch on my lap"" same","""@g27status: i could go fat as bitch lap""",No hashtags
1,"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle","""@gedmelle: 17 miss calls!!!! &#128544;&#128545;""da yo p.o bitch twitter finna screamn #freemoneymel",#FreeMoneyMelle
1,"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;","""@gtm_al: ya side bitch gotta know rule shit..anybodi ask cousin jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",No hashtags
1,"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah","""@gagatom1: &#8220;@malefoot: 3 | amo lo pie http://t.co/4qe1hdkk8i&#8221;"" fuck yeah",No hashtags
1,"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh","""@girlthatsvonte: these hoe think meat slap as &#128564;&#128075;"" ainna brother",No hashtags
1,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;","""@girlthatsvonte: yall bitch wit edg talk &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",No hashtags
1,"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit","""@girlthatsvonte: yall still go trick treat year nah?""hel yeah ima da sweet tooth bandit steal bitch bag n shit",No hashtags
1,"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck","""@girllssues: i wanna sex mom fuck right pussi i came from"" damn got hack like fuck",No hashtags
1,"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao","""@gizzy_jones94: if kiss u eye open watch bitch!""lmfao",No hashtags
1,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""","""@goofstroop: you woulda coulda shoulda as hoe &#128563;&#128586;""",No hashtags
1,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!","""@gotti_ltf: happi bday bitch ass nigga bitch roll up!",No hashtags
1,"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""","""@hbmostdope: use send bitch up""",No hashtags
1,"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""","""@hbmostdope: ugli bitch like i'm wcw duh bitch ain't nobodi elses&#128514;&#128514;""",No hashtags
1,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao","""@halotgmg: nigga know hacki sack hoes."" ...nah, i throw look pass lmao",No hashtags
1,"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""","""@heartlessfuck: glad i'm get outta atlanta. noth bunch nigga &amp; outta jail &amp; dumb bitch mad kid fuckin em.""",No hashtags
2,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc","""@hermosaalma: thi ghetto.....it' smart",No hashtags
1,"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?","""@hiimjorib: i would wife hoe cuz care cheat other."" ...whi forc relationship first place?",No hashtags
1,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu","""@hornyfacts: be singl excus hoe.""",No hashtags
1,"""@HoskinsTy96: White boy power bitch"" black power bitch","""@hoskinsty96: white boy power bitch"" black power bitch",No hashtags
1,"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.","""@hudgens_11: let get drunk, get blowed, spit shit spark blunt &amp; fuck hoes!"" bro white dude chill.",No hashtags
1,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?","""@iscoutgirls: bitch u been"" around world back. where been?",No hashtags
1,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *","""@itsyahboiray: i get dick suck yo parti bad bitch i'm fr gone set &#128514;&#128514;&#128514;&#128514;"" *bi *",No hashtags
1,"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""","""@itsyesie: #oomf soooo cute. but probabl hoe lot.""",#oomf
1,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe","""@jayten9: in everi cartoon alway save hoe lmao. http://t.co/9ukd8wtz6x"" lmao damn captain saveaho",No hashtags
2,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs","""@jreebo: who want get nose bad boi #scalli #chav #sockfetish #stink http://t.co/feqxgn0w6i"" hot sox leg",#scally #chav #sockfetish #stinking
1,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do","""@jamesynba: i wish i bitch like brother keezi &#128530;"" ooooow i bet",No hashtags
1,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy","""@jasminepore: if dress cat halloween basic."" ...or pussi",No hashtags
1,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3","""@jewelxo: can pornhub get game stream featur dumb bitch gtfo"" get katie&lt;3",No hashtags
1,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH","""@joebudden: stop scare choke sex u bitch as niggas. she&#8217;ll like it."". say guy hit woman bed. foh",No hashtags
1,"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig","""@johnny55perez: ha well iguess i make hoe loyal bro"" theyll never loyal hoe nig",No hashtags
1,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed","""@kazatta: oh man.. ""it 5 am, molly, ho fuck ya seed at??"""" #fix",#fixed
1,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""","""@kelsiebelsi: you'r man refer everi girl bitch""",No hashtags
1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!","""@keyshawnswag: lmfao cat start beat shit me"" nigga final got pussy?!? my nigga!!!",No hashtags
2,"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?","""@keyshawnswag: peel peel bring back rewind back i'm move shaq line"" ooooow tf said trash!!?",No hashtags
